,City,Cloudiness,Country,Date,Humidity,Lattitude,Longitude,Maximum Temp,Wind Speed
120,butaritari,80,KI,1548028835,100,3.07,172.79,83.52,16.13
121,mbini,40,GQ,1548025200,100,1.58,9.62,80.6,6.17
122,san felix,75,PH,1548025200,74,14.08,121.19,78.8,10.98
123,kisangani,12,CD,1548029099,99,0.52,25.21,72.09,3.6
124,saint-philippe,90,CA,1548027960,77,45.36,-73.48,1.4,13.87
125,aklavik,40,CA,1548025200,75,68.22,-135.01,-16.61,13.22
126,axim,8,GH,1548029099,100,4.87,-2.24,81.09,6.06
127,nemuro,75,JP,1548027000,62,43.32,145.57,23.0,3.36
128,yellowknife,90,CA,1548025200,76,62.45,-114.38,-4.01,10.29
129,georgetown,75,GY,1548025200,83,6.8,-58.16,80.6,13.87
130,cockburn town,0,TC,1548028823,99,21.46,-71.14,78.75,15.35
131,ati,0,TD,1548029100,48,13.21,18.34,63.99,3.38
132,leningradskiy,20,RU,1548029101,92,69.38,178.42,-10.76,8.19
133,hambantota,56,LK,1548028832,100,6.12,81.12,75.92,10.65
134,esperance,20,TT,1548025200,83,10.24,-61.45,78.8,11.41
135,arraial do cabo,44,BR,1548029101,89,-22.97,-42.02,79.29,15.79
136,fortuna,0,ES,1548027000,70,38.18,-1.13,48.2,8.05
137,trapani,0,IT,1548028200,62,38.02,12.54,51.8,6.93
138,ostrovnoy,56,RU,1548028833,88,68.05,39.51,9.45,4.72
139,longyearbyen,20,NO,1548024600,70,78.22,15.63,-5.81,4.7
140,barcelona,20,ES,1548027000,93,41.38,2.18,41.0,10.29
141,tomatlan,0,MX,1548029103,68,19.93,-105.25,79.11,3.6
142,ust-kut,80,RU,1548029104,67,56.78,105.75,18.18,8.63
143,tateyama,75,JP,1548025800,100,36.66,137.31,32.0,3.36
144,pevek,12,RU,1548029104,86,69.7,170.27,-19.62,5.61
145,abbeville,0,FR,1548027000,92,50.11,1.83,28.4,1.12
146,ruteng,20,ID,1548029105,93,-8.61,120.46,76.41,3.6
147,codrington,90,AU,1548025200,58,-28.95,153.24,84.2,6.93
148,nanesti,20,RO,1548029105,92,45.55,27.5,32.45,5.61
149,paka,75,HR,1548027000,89,45.29,18.06,33.8,5.82
150,klaksvik,48,FO,1548026400,86,62.23,-6.59,37.4,1.12
151,gold coast,75,AU,1548027000,58,-28.0,153.41,84.2,9.17
152,nyurba,68,RU,1548029106,72,63.29,118.35,-6.57,5.39
153,port elizabeth,75,US,1548024960,63,39.31,-74.98,30.02,21.92
154,puerto ayora,75,EC,1548025200,78,-0.74,-90.35,80.6,13.87
155,boffa,0,GN,1548029107,85,10.18,-14.04,74.52,5.95
156,pisco,0,PE,1548025200,30,-13.71,-76.2,71.6,17.22
157,provideniya,90,RU,1548027000,71,64.42,-173.23,5.0,13.42
158,valparaiso,90,US,1548028500,76,41.47,-87.06,17.6,5.82
159,kaspiyskiy,0,RU,1548029109,93,45.39,47.37,16.83,6.17
160,saskylakh,68,RU,1548029109,81,71.97,114.09,-18.9,4.27
161,castro,90,CL,1548025200,72,-42.48,-73.76,59.0,9.17
162,torbay,90,CA,1548025200,79,47.66,-52.73,21.2,14.99
163,yanam,0,IN,1548029110,79,16.73,82.22,66.06,3.38
164,ixtapa,75,MX,1548024240,83,20.71,-105.21,80.6,9.17
165,gigmoto,92,PH,1548029111,100,13.78,124.39,76.5,18.59
166,yulara,0,AU,1548026340,18,-25.24,130.99,96.8,19.46
167,uvalde,1,US,1548027300,38,29.21,-99.79,62.96,5.82
168,la ciotat,68,FR,1548027000,100,43.17,5.6,44.6,9.17
169,ahmadpur east,76,PK,1548029112,85,29.14,71.26,54.77,8.97
170,dakar,0,SN,1548027000,68,14.69,-17.45,64.4,17.22
171,mazamari,48,PE,1548029113,91,-11.33,-74.53,68.76,1.14
172,hokitika,88,NZ,1548029201,99,-42.72,170.96,58.68,19.71
173,batticaloa,92,LK,1548029114,100,7.71,81.69,76.95,5.84
174,kieta,92,PG,1548029114,100,-6.22,155.63,77.18,4.72
175,nokaneng,44,BW,1548029115,61,-19.66,22.19,75.38,9.42
176,poykovskiy,90,RU,1548027000,100,61.23,73.33,17.6,8.95
177,soc trang,75,VN,1548027000,100,9.6,105.98,73.4,1.12
178,verkhoturye,0,RU,1548029115,69,58.86,60.81,9.36,6.73
179,salalah,0,OM,1548024600,26,17.01,54.1,71.6,13.87
180,stepnogorsk,92,KZ,1548029116,89,52.35,71.88,23.22,3.6
181,swift current,1,CA,1548025200,85,50.29,-107.8,15.8,9.17
182,khandyga,0,RU,1548029117,0,62.65,135.58,-54.36,2.15
183,newport,75,GB,1548028200,100,51.59,-3.0,41.0,4.7
184,sabang,92,PH,1548029118,100,13.72,123.58,74.88,14.23
185,dinar,75,TR,1548028200,87,38.07,30.16,42.8,5.82
186,ribeira grande,88,PT,1548029119,98,38.52,-28.7,62.64,17.47
187,aswan,0,EG,1548029119,95,24.09,32.9,44.46,2.37
188,qingyuan,88,CN,1548029120,100,27.62,119.06,39.92,2.48
189,san patricio,24,PY,1548029121,87,-26.98,-56.83,72.32,2.48
190,kapaa,1,US,1548024960,54,22.08,-159.32,82.04,9.17
191,bredasdorp,0,ZA,1548025200,87,-34.53,20.04,57.2,1.12
192,port moresby,40,PG,1548025200,83,-9.47,147.16,80.6,11.41
193,east wenatchee bench,90,US,1548024900,88,47.43,-120.28,39.02,6.93
194,saldanha,0,PT,1548029122,83,41.42,-6.55,24.35,3.6
195,neka,8,IR,1548029123,90,36.65,53.3,27.63,1.92
196,zhuhai,0,CN,1548025200,76,40.71,112.04,-5.81,4.47
197,svetlogorsk,40,RU,1548027000,66,53.14,59.15,15.8,6.71
198,tailai,44,CN,1548029123,67,46.39,123.41,2.34,3.04
199,moorhead,1,US,1548027300,54,46.87,-96.75,1.94,5.82
200,saint george,20,GR,1548028200,93,39.45,22.34,41.0,4.7
201,linxia,0,CN,1548028837,43,35.6,103.21,-12.06,3.04
202,sao geraldo do araguaia,44,BR,1548029124,94,-6.4,-48.55,75.42,1.36
203,tanout,0,NE,1548029125,53,14.97,8.88,60.12,3.38
204,carazinho,68,BR,1548029125,89,-28.3,-52.79,69.84,8.63
205,lavrentiya,12,RU,1548029125,89,65.58,-170.99,-3.15,11.65
206,port hardy,75,CA,1548025200,86,50.7,-127.42,41.0,4.7
207,karratha,12,AU,1548029041,37,-20.74,116.85,89.78,11.65
208,mariental,12,DE,1548029126,71,52.28,10.99,13.1,3.38
209,corinto,0,BR,1548029127,59,-18.36,-44.46,76.28,5.5
210,monrovia,40,LR,1548027000,94,6.33,-10.8,75.2,6.62
211,erzin,40,TR,1548028200,70,36.95,36.2,44.6,14.99
212,killybegs,68,IE,1548029127,100,54.63,-8.45,42.8,10.2
213,beloha,92,MG,1548029127,85,-25.17,45.06,78.21,14.0
214,jutai,76,BR,1548029127,92,-1.71,-47.89,77.67,4.94
215,krasnaya gora,75,RU,1548025200,85,53.01,31.6,21.2,13.42
216,soe,75,EE,1548028200,78,57.91,26.05,17.6,9.17
217,taltal,0,CL,1548029129,72,-25.41,-70.49,67.23,2.59
218,santa cruz,90,US,1548028740,86,36.97,-122.03,57.2,14.99
219,hasanpur,76,IN,1548029131,90,28.72,78.28,54.63,9.53
220,vredendal,0,ZA,1548029132,72,-31.68,18.49,54.45,1.7
221,mopipi,0,BW,1548029135,51,-21.2,24.86,74.61,14.56
222,ende,76,ID,1548029135,100,-8.84,121.65,82.8,10.42
223,coquimbo,75,CL,1548025200,82,-29.95,-71.34,62.6,10.29
224,havoysund,90,NO,1548026400,92,71.0,24.66,21.2,8.05
225,tessalit,0,ML,1548029138,29,20.2,1.01,41.94,5.73
226,cayenne,90,GF,1548027000,78,4.94,-52.33,80.6,9.17
227,tuatapere,92,NZ,1548029139,100,-46.13,167.69,52.7,25.52
228,nago,0,IT,1548028200,86,45.88,10.89,30.2,4.7
229,sibut,0,CF,1548029140,77,5.73,19.09,69.12,2.71
230,sisimiut,44,GL,1548029141,100,66.94,-53.67,-20.21,1.7
231,tara,20,JP,1548025200,64,33.0,130.15,39.2,6.93
232,narsaq,0,GL,1548024600,51,60.91,-46.05,10.4,6.93
233,launceston,0,AU,1548027000,44,-41.43,147.14,78.8,17.22
234,cherskiy,80,RU,1548029142,88,68.75,161.3,-20.21,3.6
235,christchurch,8,NZ,1548027000,53,-43.53,172.64,71.6,11.41
236,slavyanka,48,RU,1548029142,100,42.86,131.39,23.58,11.77
237,douglas,1,US,1548024960,12,31.34,-109.55,69.08,9.17
238,nivala,32,FI,1548029143,71,63.93,24.96,-2.03,2.71
239,chiapilla,75,MX,1548024540,46,16.57,-92.72,71.6,27.51
240,kahului,20,US,1548024960,49,20.89,-156.47,86.0,5.82
241,pogranichnyy,0,RU,1548029144,57,44.41,131.38,2.03,3.04
242,samarai,92,PG,1548029144,100,-10.62,150.67,76.82,9.53
243,longfeng,8,CN,1548025200,93,31.05,103.87,42.8,2.15
244,ubaitaba,40,BR,1548025200,74,-14.31,-39.32,82.4,6.93
245,poum,64,MK,1548029145,99,41.28,20.71,26.87,1.92
246,forbes,36,AU,1548029146,86,-33.38,148.01,78.12,11.1
247,gore,0,ET,1548028979,86,8.15,35.53,54.68,2.37
248,boguchany,76,RU,1548029146,72,58.38,97.46,17.42,5.73
249,oneonta,64,US,1548028899,64,42.45,-75.06,7.56,11.43
250,moen,80,NO,1548026400,84,69.13,18.61,24.8,12.75
251,haines junction,8,CA,1548029146,68,60.75,-137.51,-12.11,1.59
252,zaysan,0,KZ,1548029147,47,47.47,84.87,-10.13,2.82
253,rio de janeiro,75,BR,1548025200,88,-22.91,-43.21,84.2,9.17
254,bembereke,0,BJ,1548029147,48,10.23,2.66,68.13,3.38
255,honiara,68,SB,1548029147,92,-9.43,159.96,81.77,3.38
256,waingapu,8,ID,1548029148,91,-9.65,120.26,79.52,4.61
257,lompoc,20,US,1548027300,93,34.64,-120.46,66.02,8.05
258,tabuk,64,PH,1548029148,96,17.41,121.44,63.95,1.48
259,laguna,5,MX,1548024360,20,27.52,-110.01,82.4,8.05
260,tocopilla,12,CL,1548029148,89,-22.09,-70.2,67.37,6.4
261,talant,90,FR,1548027000,93,47.34,5.0,35.6,6.93
262,plettenberg bay,0,ZA,1548029149,94,-34.05,23.37,66.15,4.83
263,okha,92,RU,1548029149,93,53.59,142.95,6.8,31.12
264,katsuura,20,JP,1548025200,60,33.93,134.5,42.8,11.41
265,san cristobal,75,EC,1548025200,82,-0.39,-78.55,59.0,10.29
266,dingle,100,PH,1548029150,94,11.0,122.67,74.57,9.98
267,takoradi,8,GH,1548029150,100,4.89,-1.75,78.48,3.27
268,la ronge,75,CA,1548025200,77,55.1,-105.3,1.4,11.41
269,kargil,80,PK,1548029151,75,34.56,76.13,8.42,1.81
270,avarua,75,CK,1548025200,79,-21.21,-159.78,84.2,9.17
271,clinton,1,US,1548028320,57,41.84,-90.19,10.04,3.36
272,warrnambool,0,AU,1548029152,93,-38.38,142.48,68.31,5.73
273,seoul,1,KR,1548027000,72,37.57,126.98,19.4,2.24
274,camacha,75,PT,1548027000,62,33.08,-16.33,60.8,13.87
275,jucas,44,BR,1548029153,92,-6.53,-39.53,73.62,5.5
276,yarmouth,56,GB,1548024600,93,50.71,-1.5,35.6,4.7
277,brae,20,GB,1548028200,95,60.4,-1.35,42.8,10.29
278,tilichiki,76,RU,1548029154,88,60.47,166.1,29.43,11.65
279,magadan,8,RU,1548029154,85,59.56,150.8,28.67,34.36
280,kerman,0,IR,1548025200,26,30.29,57.06,21.2,4.7
281,dutlwe,20,BW,1548029155,49,-23.98,23.93,73.26,10.98
282,tongzi,88,CN,1548029155,93,28.78,105.09,40.55,4.72
283,touros,40,BR,1548025200,88,-5.2,-35.46,80.6,9.17
284,hasaki,20,JP,1548027000,32,35.73,140.83,41.0,18.34
285,diu,0,IN,1548029156,88,20.71,70.98,59.18,5.84
286,songling,0,CN,1548027000,69,31.19,120.72,33.8,4.47
287,roald,75,NO,1548026400,100,62.58,6.12,33.8,17.22
288,natal,40,BR,1548025200,78,-5.81,-35.21,82.4,14.99
289,pizhma,80,RU,1548029157,84,57.86,47.12,19.53,11.88
290,calabasas,1,US,1548028620,48,34.14,-118.64,75.02,6.93
291,kirovskiy,36,RU,1548029157,72,45.09,133.51,-2.84,2.48
292,saint-francois,90,FR,1548027000,100,46.42,3.91,37.4,5.82
293,vanimo,44,PG,1548029158,100,-2.67,141.3,81.23,5.61
294,manono,80,CD,1548029158,96,-7.3,27.4,67.05,3.04
295,cartagena,0,ES,1548027000,70,37.63,-1.0,46.4,5.82
296,gloversville,40,US,1548028740,64,43.05,-74.34,8.06,13.87
297,barra do garcas,0,BR,1548029159,68,-15.89,-52.26,80.73,4.05
298,edd,0,ER,1548029159,87,13.93,41.69,58.95,2.59
299,nouadhibou,0,MR,1548025200,72,20.93,-17.03,62.6,18.34
300,soyo,76,AO,1548029159,95,-6.13,12.37,76.55,2.82
301,dalbandin,0,PK,1548029159,71,28.9,64.41,36.54,6.51
302,bogorodskoye,80,RU,1548029160,65,52.37,140.44,-0.9,8.41
303,bahia blanca,0,AR,1548028916,46,-38.72,-62.27,82.98,22.17
304,bilibino,76,RU,1548029160,69,68.06,166.44,-24.21,2.37
305,atambua,88,ID,1548029160,100,-9.11,124.89,79.52,4.27
306,cananeia,92,BR,1548029160,100,-25.01,-47.93,77.76,2.71
307,pathein,0,MM,1548029161,89,16.78,94.73,58.55,3.71
308,rio sereno,20,PA,1548025200,40,8.82,-82.87,87.8,18.34
309,charters towers,0,AU,1548029161,69,-20.07,146.27,80.6,12.44
310,cay,68,TR,1548029162,98,38.59,31.03,26.6,2.15
311,huescar,12,ES,1548029162,85,37.81,-2.54,33.17,6.73
312,teguise,40,ES,1548027000,82,29.06,-13.56,60.8,5.82
313,komsomolskiy,56,RU,1548029162,75,67.55,63.78,5.0,7.63
314,nizwa,0,OM,1548029088,86,22.93,57.53,40.59,3.6
315,jipijapa,90,EC,1548025200,74,-1.35,-80.58,82.4,11.41
316,puerto colombia,40,CO,1548025200,78,10.99,-74.96,78.8,13.87
317,bulqize,32,AL,1548028200,100,41.49,20.22,33.8,2.24
318,susangerd,0,IR,1548025200,81,31.56,48.19,44.6,2.24
319,port blair,24,IN,1548029164,100,11.67,92.75,81.45,12.88
320,waddan,0,LY,1548029164,75,29.16,16.14,33.39,2.93
321,kruisfontein,0,ZA,1548029164,77,-34.0,24.73,64.71,12.33
322,mukdahan,20,TH,1548029165,76,16.54,104.73,70.43,9.31
323,maningrida,88,AU,1548029165,83,-12.05,134.23,86.49,10.2
324,amazar,8,RU,1548029166,44,53.86,120.88,-16.38,2.37
325,sinnamary,92,GF,1548029166,95,5.38,-52.96,79.38,13.44
326,port-cartier,90,CA,1548025200,69,50.03,-66.88,-7.61,23.04
327,los llanos de aridane,76,ES,1548027000,68,28.66,-17.92,64.4,18.34
328,belyy yar,0,RU,1548027000,84,53.6,91.39,-2.21,2.15
329,duluth,90,US,1548028560,75,46.77,-92.13,6.8,3.36
330,comodoro rivadavia,0,AR,1548025200,19,-45.87,-67.48,78.8,18.34
331,adrar,0,DZ,1548025200,23,27.87,-0.29,53.6,11.41
332,eirunepe,44,BR,1548029168,85,-6.66,-69.87,80.01,1.59
333,robertson,0,ZA,1548029168,75,-33.8,19.88,47.75,1.92
334,victoria,75,BN,1548027000,88,5.28,115.24,80.6,9.17
335,tiznit,12,MA,1548029168,100,29.7,-9.73,55.67,3.38
336,inongo,36,CD,1548029169,93,-1.93,18.29,73.58,2.71
337,berlevag,75,NO,1548024600,73,70.86,29.09,24.8,19.46
338,wagrowiec,20,PL,1548027000,92,52.81,17.2,26.6,4.7
339,perivolion,20,GR,1548028200,93,39.42,20.01,42.8,9.75
340,sao filipe,32,CV,1548029170,94,14.9,-24.5,72.27,14.9
341,luganville,68,VU,1548029170,100,-15.51,167.18,81.99,5.17
342,matara,76,PE,1548029170,68,-13.74,-72.9,52.88,0.36
343,palu,48,ID,1548029171,89,-0.9,119.87,68.76,2.15
344,galveston,90,US,1548028500,59,40.58,-86.19,14.0,3.6
345,sept-iles,90,CA,1548025200,69,50.2,-66.38,-7.61,23.04
346,kristianstad,88,SE,1548026400,100,56.03,14.16,33.8,4.7
347,adre,0,TD,1548029171,63,13.47,22.2,59.04,3.15
348,grand-lahou,0,CI,1548029172,94,5.24,-5.0,75.96,4.38
349,sur,0,OM,1548029172,100,22.57,59.53,67.68,22.28
350,teya,75,MX,1548024300,49,21.05,-89.07,69.8,13.87
351,krasnoarmeysk,75,RU,1548027000,85,56.12,38.15,23.0,13.42
352,ranfurly,0,CA,1548029173,65,53.41,-111.68,9.45,3.83
353,manta,24,RO,1548029174,96,45.1,24.1,20.16,2.59
354,alice springs,0,AU,1548027000,13,-23.7,133.88,98.6,12.75
355,rehoboth,0,NA,1548029175,31,-23.31,17.08,61.2,2.71
356,yinchuan,0,CN,1548029176,48,38.48,106.21,-4.73,2.59
357,matagami,0,NG,1548029176,83,9.67,8.4,63.63,2.04
358,maraa,92,BR,1548029176,97,-1.83,-65.37,75.78,3.71
359,hamilton,40,CA,1548027900,64,43.26,-79.87,6.8,14.99
360,luanda,64,AO,1548029177,94,-8.83,13.24,78.17,5.73
361,labytnangi,44,RU,1548029177,59,66.66,66.39,-12.33,1.14
362,vostok,36,RU,1548029177,76,46.45,135.83,-8.69,2.71
363,tabou,0,CI,1548029178,100,4.42,-7.36,82.85,7.85
364,stromness,90,CA,1548028440,79,42.87,-79.55,6.98,17.22
365,imeni poliny osipenko,8,RU,1548029178,57,52.42,136.49,-20.21,2.37
366,quatre cocos,75,MU,1548025200,83,-20.21,57.76,78.8,2.24
367,naze,40,NG,1548025200,83,5.43,7.07,77.0,3.04
368,guerrero negro,0,MX,1548029180,41,27.97,-114.04,71.28,7.74
369,husavik,0,CA,1548029181,33,50.56,-96.99,-22.73,11.43
370,santa maria,20,BR,1548025200,88,-29.69,-53.81,71.6,4.7
371,wamba,0,CD,1548029183,80,2.14,27.99,69.08,2.15
372,nizhneangarsk,80,RU,1548029183,83,55.78,109.57,7.43,4.83
373,ponta delgada,40,PT,1548027000,93,37.73,-25.67,57.2,9.98
374,wilmington,90,US,1548027300,58,39.75,-75.55,28.4,13.87
375,clyde river,40,CA,1548025200,74,70.47,-68.59,-22.01,6.4
376,nisia floresta,40,BR,1548025200,78,-6.09,-35.21,82.4,14.99
377,lorengau,80,PG,1548029185,100,-2.02,147.27,82.17,10.98
378,korfovskiy,0,RU,1548027000,76,48.22,135.06,-9.41,2.24
379,karbinci,90,MK,1548028800,93,41.82,22.24,37.4,2.15
380,beipiao,0,CN,1548029185,29,41.8,120.76,26.64,16.58
381,cradock,0,ZA,1548029186,85,-32.16,25.62,44.64,1.14
382,uruacu,44,BR,1548029074,92,-14.52,-49.14,74.12,2.71
383,nelson bay,75,AU,1548027000,78,-32.72,152.14,77.0,3.36
384,saqqez,0,IR,1548029186,53,36.24,46.27,3.02,1.81
385,kavaratti,0,IN,1548029186,100,10.57,72.64,80.01,4.05
